"","utility_name","State","Data Year","Utility Number","Ownership","SAIDI_IEEE","SAIFI With MED...7","CAIDI With MED...8","SAIDI Without MED...9","SAIFI Without MED...10","CAIDI Without MED...11","SAIDI With MED Minus LOS","SAIFI With MED Minus LOS","CAIDI Minus MED","Number of Customers...15","Highest Dist. Voltage...16","Outages Recorded Automatically...17","Revenues","total_sale"
"163","Los Angeles Department of Water & Power","CA","2020",11208,"public","139.55000000000001","0.74","188.58107999999999","114.13","0.69","165.4058",".",".",".","1580267","34.5","N",4086338.3,20960389
"164","Manitowoc Public Utilities","WI","2020",11571,"public","32.899000000000001","0.42899999999999999","76.687646000000001","5.49","8.3000000000000004E-2","66.144577999999996","18.68","0.25700000000000001","72.684825000000004","17957","13.2","Y",37116.4,504541
"165","Maryville Utilities","TN","2020",11789,"public","323","2.35","137.44681","66","1","66",".",".",".","19147","13.2","Y",62967,747396
"166","McMinnville Electric System","TN","2020",12186,"public","24.146000000000001","0.246","98.154471999999998","10.103999999999999","0.13700000000000001","73.751824999999997","24.146000000000001","0.246","98.154471999999998","8002","26","Y",18146,176603
"167","Modesto Irrigation District","CA","2020",12745,"public","51.82","0.63","82.253968","44.01","0.57599999999999996","76.40625","41.58","0.54200000000000004","76.715867000000003","117276","21","Y",371982.5,2588108
"168","Nashville Electric Service","TN","2020",13216,"public","1854.36","2.5209999999999999","735.56524999999999","102.1","1.44","70.902777999999998","1854.36","2.5209999999999999","735.56524999999999","406591","23.9","Y",1204531,11212987
"169","Nebraska Public Power District","NE","2020",13337,"public","118.07","0.97","121.72165","79.7","0.78","102.17949","115.64","0.95","121.72632","92000","69","Y",236653,3234624
"170","New River Light & Power Co","NC","2020",13482,"public","19.257999999999999","0.41499999999999998","46.404819000000003","19.257999999999999","0.41499999999999998","46.404819000000003",".",".",".","8538","12.5","Y",17784.2,191618
"171","Newnan Wtr, Sewer & Light Comm","GA","2020",13547,"public","93.757999999999996","1.641","57.134673999999997","93.757999999999996","1.641","57.134673999999997",".",".",".","10667","25","Y",34079,305923
"172","Norris Public Power District","NE","2020",13664,"public","224.00299999999999","1.8720000000000001","119.65971999999999","223.233","1.8680000000000001","119.50375","218.72800000000001","1.802","121.38069","24663","12.5","Y",75786.5,944039
"173","Northern Wasco County PUD","OR","2020",13788,"public","87.31","0.55000000000000004","158.74545000000001","33.380000000000003","0.19","175.68421000000001","87.31","0.55000000000000004","158.74545000000001","10286","12.5","N",54038.8,981049
"174","Omaha Public Power District","NE","2020",14127,"public","129.6","0.68","190.58824000000001","78.7","0.53","148.49056999999999",".",".",".","384843","13.8","Y",980478,11088938
"175","Overton Power District No 5","NV","2020",14245,"public","35.993000000000002","0.501","71.842314999999999","35.993000000000002","0.501","71.842314999999999","35.993000000000002","0.501","71.842314999999999","16535","69","Y",38154,386475
"176","Provo City Corp","UT","2020",15444,"public","21.63","0.24","90.125","21.63","0.24","90.125","21.63","0.24","90.125","37788","12.5","Y",68632,742130
"177","PUD 1 of Snohomish County","WA","2020",17470,"public","255.5","1.69","151.18342999999999","131.80000000000001","1.25","105.44","255.5","1.69","151.18342999999999","368222","12.5","Y",611810,6446946
"178","PUD No 1 of Benton County","WA","2020",1579,"public","88.5","0.65","136.15385000000001","67.7","0.57999999999999996","116.72414000000001",".",".",".","54440","34.5","Y",127865,1739433
"179","PUD No 1 of Clark County - (WA)","WA","2020",3660,"public","120.75","0.72599999999999998","166.32230999999999","41.07","0.53600000000000003","76.623133999999993","118.72","0.66500000000000004","178.52632","213948","12.5","Y",366059,4473919
"180","PUD No 1 of Cowlitz County","WA","2020",4442,"public","152.51599999999999","1.0569999999999999","144.29139000000001","122.77200000000001","0.879","139.67234999999999","152.51599999999999","1.0569999999999999","144.29139000000001","50513","13","Y",244855,4343568
"181","PUD No 1 of Grays Harbor County","WA","2020",7548,"public","260","1.4","185.71429000000001","182","1.2","151.66667000000001","93","0.64","145.3125","43034","34.5","N",100373.9,899577
"182","PUD No 1 of Jefferson County","WA","2020",59013,"public","397.56799999999998","2.31","172.10736","397.56799999999998","2.31","172.10736",".",".",".","20287","12.5","Y",37589.7,380071
"183","PUD No 1 of Lewis County","WA","2020",10944,"public","433.4","2.69","161.11524","259.62","1.91","135.92670000000001","433.39","2.69","161.11152000000001","34012","24.9","N",73423.4,929778
"184","Rochelle Municipal Utilities","IL","2020",16179,"public","93.066999999999993","0.72499999999999998","128.36828",".",".",".",".",".",".","6899","15","N",34624,378366
"185","Rochester Public Utilities","MN","2020",16181,"public","29.58","0.68","43.5","29.58","0.68","43.5","29.58","0.68","43.5","57447","13.8","Y",141923.7,1127968
"186","Salt River Project","AZ","2020",16572,"public","47.320999999999998","0.751","63.010652","40.826999999999998","0.69099999999999995","59.083936000000001","46.34","0.72099999999999997","64.271844999999999","1072666","34.5","N",2968067.7,30505673
"187","Sevier County Electric System","TN","2020",16949,"public","1566.5","3.6019999999999999","434.89728000000002","321.10700000000003","2.1429999999999998","149.83994000000001","1561.8","3.4529999999999998","452.30234999999999","55992","25","Y",144262,1428180
"188","Shakopee Public Utilities Comm","MN","2020",16971,"public","19.43","0.30399999999999999","63.914473999999998","19.43","0.30399999999999999","63.914473999999998","19.43","0.30399999999999999","63.914473999999998","18562","13.8","N",46902,430760
"189","South Carolina Public Service Authority","SC","2020",17543,"public","48.848999999999997","0.60499999999999998","80.742148999999998","23.902000000000001","0.38900000000000001","61.44473","43.335999999999999","0.51700000000000002","83.822050000000004","188318","34.5","N",580526,7669358
"190","Southwest Public Power Dist","NE","2020",17692,"public","99.4","0.76","130.78946999999999","99.4","0.76","130.78946999999999","54.11","0.75","72.146666999999994","6237","7.2","Y",22220,227996
"191","Strawberry Electric Serv Dist","UT","2020",18206,"public","194.142",".",".","51.93",".",".",".",".",".","3990","12.5","N",6879.6,63620
"192","Town of Bedford - (VA)","VA","2020",1456,"public","331.37599999999998","1.379","240.30167","146.78200000000001",".",".","146.78200000000001",".",".","6723","69","N",19065.6,170520
"193","Town of Braintree - (MA)","MA","2020",2144,"public","3.93","0.04","98.25","3.93","0.04","98.25","3.93","0.04","98.25","16924","13.8","N",46389,312638
"194","Town of High Point","NC","2020",8571,"public","207.01900000000001","2.1949999999999998","94.313895000000002","144.66499999999999","1.829","79.095134000000002","201.72300000000001","2.097","96.195993999999999","41905","12.4","Y",125849,1137103
"195","Town of Huntersville - (NC)","NC","2020",9087,"public","97.507999999999996","0.41299999999999998","236.09684999999999",".",".",".",".",".",".","7265","12.5","N",19560.3,232432
